Dirección,Territorio (1 al 7),Coordenadas (click derecho en maps),Nombre,Categoría,Icono (JPG o PNG),Foto (Si aplica)**,Descripción
"Estadio El Pinar, Comercio 275, San Joaquín",3,"-33.49354057499208, -70.62809614601389",Mejoramiento entorno e Iluminación de Canchas El Pinar,Deporte,00134_CANCHAS_REPARACION.png,,Proyectos de Mejoramiento de infraestructura deportiva: En postulación - Mejoramiento multicancha Villa República de Venezuela
Vickuña Mackenna 4291,3,"-33.493666248432305, -70.61733811349028",Mejoramiento multicancha Villa República de Venezuela,Deporte,00134_CANCHAS_REPARACION.png,,"Proyectos de Mejoramiento de infraestructura deportiva: En postulación - Mejoramiento Estadio El Pinar, entorno e Iluminación de Canchas"
"Estadio El Pinar, Comercio 275, San Joaquín",3,"-33.49354057499208, -70.62809614601389",Mejoramiento Camarines y Juegos Estadio El Pinar,Deporte,0093 PLAZA PARA CALISTENIA.png,,"Proyectos de Mejoramiento de infraestructura deportiva: En Elaboración - Mejoramiento Camarines y Juegos Estadio El Pinar, San Joaquín"
"Estadio El Pinar, Comercio 275, San Joaquín",3,"-33.49354057499208, -70.62809614601389",Multicancha de fútbol,Deporte,00104 CANCHAS.png,,"Multicancha en Estadio El Pinar, Comercio 275, San Joaquín"
Teniente Serrano 3706,3,"-33.49326988982459, -70.6243375959521",Cancha de fútbol,Deporte,00104 CANCHAS.png,,Canchas de futbol en Teniente Serrano
ALCALDE PEDRO ALARCÓN 164-A,3,"-33.490322833408435, -70.62235591441267",Coro Adulto Mayor,Cultura,00135_CORO.png,,TALLERES CULTURALES: CORO ADULTO MAYOR: ALCALDE PEDRO ALARCÓN 164-A
CASTELAR NORTE 120,3,"-33.49248162553039, -70.62273931699664",Taller de Foto relato,Cultura,0063 TALLER PERIODISMO.png,,TALLERES CULTURALES: FOTO RELATO: CASTELAR NORTE 120
Salomón SUMAR 1500,3,"-33.48788587246688, -70.6280118460141",Fonda Chilenera,Cultura,0013 DIA DEL CUEQUERO Y CUEQUERA.png,,"FIESTAS Y CELEBRACIONES: FONDA CHILENERA: EXPLANADA SUMAR, 1500"
"Plaza El Pinar, Castelar Sur 148",3,"-33.49264563641403, -70.62318208834415","Teatro itinerante, plaza El Pinar",Cultura,0066 TALLER DE TEATRO.png,,"FESTIVAL DE LAS ARTES: TEATRO ITINERANTE, PLAZA EL PINAR"
"Plaza El Pinar, Castelar Sur 148",3,"-33.49260984687016, -70.62320354601397",Apoyo con el Audio Básico para Grabación de Video Clip,Cultura,0063 TALLER PERIODISMO.png,,"APOYO A ORGANIZACIONES CULTURALES Y TERRITORIALES: GRABACIÓN VIDEO CLIP, DESDE EL PINAR AOTROS PUNTOS"
Francisca de Rimini 3504,3,"-33.49027543532525, -70.62266318038216",Apoyo con el Audio Básico para Bingo Cultural ,Cultura,00136_AUDIO_VIDEO.png,,"APOYO A ORGANIZACIONES CULTURALES Y TERRITORIALES:  APOYO AUDIO BÁSICO PARA, BINGO CULTURAL, SEDE JJVV G RIESCO"
Francisca de Rimini 3504,3,"-33.49027543532525, -70.62266318038216","Apoyo con Audio Básico, Canto con Sentido",Cultura,00136_AUDIO_VIDEO.png,,"APOYO A ORGANIZACIONES CULTURALES Y TERRITORIALES: AUDIO BÁSICO, CANTO CON SENTIDO, SEDE JJVV G RIESCO"
Brunelleschi 3415,3,"-33.48818208188166, -70.62263149018868","Taller de jardinería, personas mayores",SOCIAL Y CULTURAL,0031 TALLER ADULTO MAYOR.png,,"ACTIVIDADES COMUNITARIAS DIDECO - Talleres Personas Mayores: Jardinería, Abejitas doradas (Brunelleschi 3415)"
Magdalena 250,3,"-33.48826776900635, -70.62969154601419","Taller mente activa, personas mayores",SOCIAL Y CULTURAL,0031 TALLER ADULTO MAYOR.png,,ACTIVIDADES COMUNITARIAS DIDECO - Talleres Personas Mayores: Mente activa: Bella Esperanza (Magdalena 250)
Río Loa con Villa Venezuela,3,"-33.49304458963125, -70.61752143799896","Taller de manualidad, personas mayores",SOCIAL Y CULTURAL,0031 TALLER ADULTO MAYOR.png,,ACTIVIDADES COMUNITARIAS DIDECO - Talleres Personas Mayores: Manualidades: Juventud Eterna (Río Loa Villa Venezuela)
Alcalde Pedro Alarcón 138,3,"-33.490521840830105, -70.62078146135353",Taller de fútbol Villa Navidad,SOCIAL Y CULTURAL,05 FUTBOL.png,,ACTIVIDADES COMUNITARIAS DIDECO - Talleres: Taller de fútbol Villa Navidad
Plaza Villa Venezuela,3,"-33.492932568474174, -70.6175312325187","Actividad ""Vacaciones en tu plaza""",SOCIAL Y CULTURAL,0038 VACACIONES EN TU PLAZA.png,,"ÁREA PARTICIPACIÓN, PROMOCIÓN Y PREVENCIÓN - Vacaciones en tu plaza, Villa Venezuela"
"Colegio Espíritu Santo, San Juan 3675",3,"-33.49269262460699, -70.61908876469937","Programa ""Recreo Preventivo""",SOCIAL Y CULTURAL,0054 ACTIVIDADES Y PARTICIPACION.png,,"ÁREA PARTICIPACIÓN, PROMOCIÓN Y PREVENCIÓN - Programa Prevención: Jornada “Recreo Preventivo”, colegio Espíritu Santo"
"Liceo Municipal de San Joaquín, comercio 175",3,"-33.49365288616997, -70.62295686135354",Programa Habilidades para la vida (HPV),SOCIAL Y CULTURAL,00105 AUDIENCIA EN TERRENO.png,,"ÁREA PARTICIPACIÓN, PROMOCIÓN Y PREVENCIÓN - Programa Habilidades para la vida (HPV): Liceo Municipal de San Joaquín, comercio 175, - Colegio Ciudad de Frankfurt, Francesca da Rimini 3464"
"Colegio Ciudad de Frankfurt, Francesca Rimini 3464",3,"-33.48929642352758, -70.62247183251895",Programa Habilidades para la vida (HPV),SOCIAL Y CULTURAL,00105 AUDIENCIA EN TERRENO.png,,
"Universidad Técnica Federico Santa María, Av. Vicuña Mackenna 3939",3,"-33.49026928770364, -70.61908317669328",Charla preventiva por el día de la salud sexual,SOCIAL Y CULTURAL,0053 PROGRAMA PREVENCION.png,,"ÁREA PARTICIPACIÓN, PROMOCIÓN Y PREVENCIÓN - Charla preventiva por el día de la salud sexual: Universidad Técnica Federico Santa María"
Escuela Ciudad de Frankfort,3,"-33.48925211885765, -70.62252011717919",Programa de prevención VIF: Feria educativa,SOCIAL Y CULTURAL,0053 PROGRAMA PREVENCION.png,,"ÁREA PARTICIPACIÓN, PROMOCIÓN Y PREVENCIÓN - Prevención VIF : Feria educativa escuela Ciudad de Frankfort"
Darwin 230,3,"-33.48610616084154, -70.6284446654452",Sede Vecinal JJVV Salomón Sumar,SOCIAL Y CULTURAL,0020 SEDES VECINALES.png,,"Sede Vecinal, Junta de vecinos Salomón Sumar, territorio 3"
RÍO LOA FRENTE A 82,3,"-33.49251638346936, -70.61833321717906",Sede Vecinal JJVV Villa República Venezuela,SOCIAL Y CULTURAL,0020 SEDES VECINALES.png,,"Sede Vecinal, JUNTA DE VECINOS VILLA REPUBLICA VENEZUELA, RÍO LOA FRENTE A 82, territorio 3"
CASTERLAR NORTE 120,3,"-33.49249952033069, -70.62282514785825",Sede Vecinal JJVV El Pinar,SOCIAL Y CULTURAL,0020 SEDES VECINALES.png,,"Sede Vecinal, JUNTA DE VECINOS EL PINAR, CASTERLAR NORTE 120, territorio 3"
CORELLI ESQUINA PEDRO ALARCÓN,3,"-33.49042576887788, -70.62053999018869",Sede Vecinal JJVV Villa Navidad,SOCIAL Y CULTURAL,0020 SEDES VECINALES.png,,"Sede Vecinal, JUNTA DE VECINOS VILLA NAVIDAD, CORELLI ESQUINA PEDRO ALARCÓN, territorio 3"
SALOMÓN SUMAR 3599-C,3,"-33.48855469362472, -70.62826804335788",Sede Vecinal JJVV Unidad y Progreso,SOCIAL Y CULTURAL,0020 SEDES VECINALES.png,,"Sede Vecinal, JUNTA DE VECINOS UNIDAD Y PROGRESO, SUMAR 4, territorio 3"
JJVVV Castelar Norte 250,3,"-33.4920816875959, -70.626810147682",PROGRAMA CONSTRUYENDO COMUNIDAD,SOCIAL Y COMUNITARIO,00100 MEJORAMIENTO INFRAESTRUCTURA DEPORTIVA.png,,"PROGRAMA CONSTRUYENDO COMUNIDAD: Se reactiva Junta de vecinos; aporte subvención para seguridad y luminarias, 
se activa taller de fútbol para niños y adolescentes, celebraciones mes de la niñez (agosto), taller de fútbol niñez en último trimestre 2024, JJVVV Castelar Norte 250"
JJVV Villa Navidad,3,"-33.49042576887788, -70.62053999018869",PROGRAMA CONSTRUYENDO COMUNIDAD,SOCIAL Y COMUNITARIO,00100 MEJORAMIENTO INFRAESTRUCTURA DEPORTIVA.png,,"PROGRAMA CONSTRUYENDO COMUNIDAD: Subvención, para compra nueva sede social, talleres de fútbol, zumba y boxeo con gran participación de vecinos, asamblea con personas mayores, mejoras en cancha Villa Navidad, JJVV Villa Navidad"
"JJVV SALOMON SUMAR, DARWIN 230",3,"-33.48610616084154, -70.6284446654452",OPERATIVOS GOBIERNO EN TU BARRIO JJVV Salomón Sumar,SOCIAL Y COMUNITARIO,00107 OPERATIVOS SOCIALES.png,,"ATENCIONES SOCIALES EN OPERATIVOS GOBIERNO EN TU BARRIO - 298 personas atendidas en 6 operativos
JUNTA DE VECINOS SALOMON SUMAR, DARWIN 230"
"JJVV SOL NACIENTE, ENTRE RIETER Y LAS INDUSTRIAS",3,"-33.48653610827456, -70.62940599007109
",OPERATIVOS GOBIERNO EN TU BARRIO JJVV Sol Naciente,SOCIAL Y COMUNITARIO,00107 OPERATIVOS SOCIALES.png,,"ATENCIONES SOCIALES EN OPERATIVOS GOBIERNO EN TU BARRIO - 298 personas atendidas en 6 operativos JUNTA DE VECINOS SOL NACIENTE, PASAJE AREAS VERDES,ENTRE RIETER Y LAS INDUSTRIAS INTERIOR (SUMAR 3)"
"JJVV VILLA BRASIL, JOSÉ INGENIEROS 3250",3,"-33.4864561610868, -70.62435774601424",00107 OPERATIVOS SOCIALES.png,SOCIAL Y COMUNITARIO,00107 OPERATIVOS SOCIALES.png,,"ATENCIONES SOCIALES EN OPERATIVOS GOBIERNO EN TU BARRIO - 298 personas atendidas en 6 operativos JUNTA DE VECINOS VILLA BRASIL, JOSÉ INGENIEROS 3250"
"JJVV EL PINAR, CASTELAR NORTE 120",3,"-33.49249952033069, -70.62282514785825",OPERATIVO GOBIERNO EN TU BARRIO JJVV El Pinar,SOCIAL Y COMUNITARIO,00107 OPERATIVOS SOCIALES.png,,"ATENCIONES SOCIALES EN OPERATIVOS GOBIERNO EN TU BARRIO - 298 personas atendidas en 6 operativos JUNTA DE VECINOS EL PINAR, CASTELAR NORTE #120"
"JJVV CASTELAR NORTE, CASTELAR NORTE 250",3,"-33.4920816875959, -70.626810147682",OPERATIVO GOBIERNO EN TU BARRIO JJVV Castelar Norte,SOCIAL Y COMUNITARIO,00107 OPERATIVOS SOCIALES.png,,"ATENCIONES SOCIALES EN OPERATIVOS GOBIERNO EN TU BARRIO - 298 personas atendidas en 6 operativos JUNTA DE VECINOS CASTELAR NORTE, CASTELAR NORTE#250"
"PLAZA EL PINAR, Castelar Sur 148",3,"-33.49264563641403, -70.62321427484889",OPERATIVO GOBIERNO EN TU BARRIO EN PLAZA EL PINAR,SOCIAL Y COMUNITARIO,00107 OPERATIVOS SOCIALES.png,,"ATENCIONES SOCIALES EN OPERATIVOS GOBIERNO EN TU BARRIO - 298 personas atendidas en 6 operativos OPERATIVO JUNTO A DUOC UC, PLAZA EL PINAR"
Francisca de Rimini 3463 (Escuela Ciudad de Frankfort),3,"-33.489222827927314, -70.62299873251892",Capacitación OTEC 2024,EMPRENDEDORES,0046 CAPACITACION OTEC.png,,"CAPACITACIÓN OTEC 2024 
Fomento del empleo y emprendimiento local - Francisca de Rimini 3463 (Escuela Ciudad de Frankfort)"
"Patio Outlet, Av. Carlos Valdovinos 200",3,"-33.48600730825891, -70.62742457484906",Capacitación OTEC 2024,EMPRENDEDORES,0046 CAPACITACION OTEC.png,,"CAPACITACIÓN OTEC 2024
Promoviendo y aumentando la empleabilidad - Patio Outlet"
"Carlos Valdovinos 200, Outlet La Fábrica",3,"-33.48599836018845, -70.6274674901887",Feria de Emprendedores 2024,EMPRENDEDORES,07 FERIA EMPRENDEDORES.png,,"FERIA EMPRENDEDORES 2024: OUTLET LA FABRICA (GRUPO
PATIO). FERIA EMPRENDEDORES, Carlos Valdovinos 200, Outlet La Fábrica"
"Carlos Valdovinos 200, Outlet La Fábrica",3,"-33.48599836018845, -70.6274674901887","Operativo OMIL, Feria Laboral",EMPRENDEDORES,0035 FERIA OMIL.png,,"OPERATIVOS OMIL EN TERRENO 2024 
FERIA LABORAL: OUTLET LA FABRICA"
ALCALDE PEDRO ALARCÓN 164-A,3,"-33.490522112730815, -70.62233188250958","Operativo OMIL, Capacitación",EMPRENDEDORES,0044 OPERATIVO DE RECLUTAMIENTO.png,,"OPERATIVOS OMIL EN TERRENO 2024 
CAPACITACIÓN: JJVV GERMAN RIESCO"
"JJVV EL PINAR, CASTELAR NORTE 120",3,"-33.49249952033069, -70.62282514785825","Operativo OMIL, Capacitación",EMPRENDEDORES,0044 OPERATIVO DE RECLUTAMIENTO.png,,"OPERATIVOS OMIL EN TERRENO 2024 
CAPACITACIÓN:  JJVV EL PINAR"
DESDE ESPACIO MUJERES A ESTADIO MUNICIPAL,3,"-33.49023019667346, -70.62943168938865",Caminata de Conmemoración día de la mujer 2024,MUJER,0042 CONMEMORACIÓN MES DE LAS MUJERES.png,,"ACTIVIDAD - CAMINATA MUJERES: DESDE ESPACIO MUJERES A ESTADIO MUNICIPAL
Conmemoración día de la Mujer: En el año 2024, se realizaron diversas actividades entre los días 8 y 30 de marzo, enfocadas en distintas áreas de la vida de las mujeres de San Joaquín (salud y deporte, recreación, organización social y asociatividad, etc.), con un enfoque feminista que invita a la reflexión a las vecinas de la comuna."
