Nombre,Dirección,Territorio,Descripción (sólo si es necesario),Coordenada,Categoría,Subcategoría,,,,,,,,,,,,,,,,,,
Demarcación y señalización de eje Av. Vicuña Mackenna (a ejecutarse 2025),"Av. Vicuña Mackenna, entre Celia Solar y Rodrigo de Araya",1,"Mitigaciones Asociadas a Construcción Edificios a ejecutarse 2025:
Proyecto de demarcación y señalización de eje Av. Vicuña Mackenna, entre Celia Solar y Rodrigo de Araya","[
          [
            -70.62400965618995,
            -33.471806003931505
          ],
          [
            -70.62412735972445,
            -33.471872947041085
          ],
          [
            -70.62436276679271,
            -33.47193989009774
          ],
          [
            -70.62645467960516,
            -33.47219427324391
          ],
          [
            -70.62643327896224,
            -33.4722835303111
          ],
          [
            -70.62489778285716,
            -33.472096090363024
          ],
          [
            -70.62433601598941,
            -33.47202468456236
          ],
          [
            -70.62427181406144,
            -33.47201129596826
          ],
          [
            -70.62407920827827,
            -33.471948815834345
          ],
          [
            -70.62398825554777,
            -33.47189972426999
          ],
          [
            -70.62400965618995,
            -33.471806003931505
          ]
        ]",SEGURIDAD,Calle,,,,,,,,,,,,,,,,,,
Reposición canaletas de aguas lluvias en Carlos Fernández,Carlos Fernández con Santa Elena,1,"PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL
Reposición canaletas de aguas lluvias en resaltos a nivel de acera en Carlos Fernández con Santa Elena","[
          [
            -70.6261980599213,
            -33.47344144159608
          ],
          [
            -70.62619261477111,
            -33.47351411398801
          ],
          [
            -70.62692226493762,
            -33.473582244299635
          ],
          [
            -70.62694404553862,
            -33.47352319803744
          ],
          [
            -70.62620350507099,
            -33.473445983626725
          ]
        ]",SEGURIDAD,Calle,,,,,,,,,,,,,,,,,,
Construcción línea 9 metro de Santiago,"Calle Av. Santa Rosa, de Santa María hasta Av. Carlos Valdovinos",1,"PROYECTOS IMPACTO NIVEL COMUNAL - FINANCIAMIENTO APROBADO - Estación de metro o
combinación proyectada - Construcción línea 9 metro de Santiago","[
          [
            -70.64140177727926,
            -33.47627353873667
          ],
          [
            -70.6428496629253,
            -33.47630976979298
          ],
          [
            -70.64260352236575,
            -33.48117667066724
          ],
          [
            -70.6409239750163,
            -33.48143027339126
          ],
          [
            -70.64134386185354,
            -33.476297692775596
          ]
        ]",PLANES MAESTROS Y DESARROLLO URBANO,Polígono,,,,,,,,,,,,,,,,,,
Plan Maestro entorno de estaciones línea 5 Metro (En postulación),"Calle Vicuña Makenna, de Santa María hasta Av. Carlos Valdovinos",1,PROYECTOS IMPACTO NIVEL COMUNAL - Plan Maestro entorno estaciones línea 5 Metro - En postulación,"[
          [
            -70.61876070831511,
            -33.487439683617474
          ],
          [
            -70.61901624619688,
            -33.48704856178457
          ],
          [
            -70.6197884471326,
            -33.486349652313905
          ],
          [
            -70.6203364274005,
            -33.48555202117428
          ],
          [
            -70.62100798614208,
            -33.483264227764145
          ],
          [
            -70.62214403322521,
            -33.4790284585824
          ],
          [
            -70.62409885627197,
            -33.471594693642444
          ],
          [
            -70.62434284654461,
            -33.47061358280964
          ],
          [
            -70.62442649685968,
            -33.47029029300637
          ],
          [
            -70.62465688879139,
            -33.4699942049104
          ],
          [
            -70.62559418205484,
            -33.46940653965264
          ],
          [
            -70.62541872911197,
            -33.46919897550614
          ],
          [
            -70.6247832496276,
            -33.46959797451017
          ],
          [
            -70.62426190251237,
            -33.469969771576324
          ],
          [
            -70.62397920548871,
            -33.47033411851049
          ],
          [
            -70.62382694545737,
            -33.47068486459348
          ],
          [
            -70.6237262331964,
            -33.47113474125507
          ],
          [
            -70.62354670409805,
            -33.47206763063422
          ],
          [
            -70.62319597644657,
            -33.4736329473062
          ],
          [
            -70.62242658735569,
            -33.47655525496532
          ],
          [
            -70.62201335971851,
            -33.47785320622509
          ],
          [
            -70.62169795982503,
            -33.47916475715336
          ],
          [
            -70.6211321924037,
            -33.48130770086225
          ],
          [
            -70.62067187777978,
            -33.48300409416908
          ],
          [
            -70.62050374938222,
            -33.48379816606846
          ],
          [
            -70.62026181197716,
            -33.484299828735494
          ],
          [
            -70.61981538160565,
            -33.48480878135529
          ],
          [
            -70.61917048473283,
            -33.48546631876103
          ],
          [
            -70.61864402368403,
            -33.48631027993797
          ],
          [
            -70.61836970093839,
            -33.487106915488745
          ],
          [
            -70.61875852751778,
            -33.48744064400778
          ]
        ]",PLANES MAESTROS Y DESARROLLO URBANO,Calle,,,,,,,,,,,,,,,,,,
Mejoramiento de platabanda en calle Tocornal,Calle Tocornal,1,PROYECTOS ÁREAS VERDES Y MEDIO AMBIENTE - Mejoramiento de platabandas calle Tocornal - Ejecutado en 2024,"[
          [
            -70.6261980599213,
            -33.47344144159608
          ],
          [
            -70.62619261477111,
            -33.47351411398801
          ],
          [
            -70.62692226493762,
            -33.473582244299635
          ],
          [
            -70.62694404553862,
            -33.47352319803744
          ],
          [
            -70.62620350507099,
            -33.473445983626725
          ]
        ]",MEDIOAMBIENTE,Calle,,,,,,,,,,,,,,,,,,
Proyecto de áreas verdes en Parque Víctor Jara Etapa IV ,"Parque Víctor Jara, tramo Av. Las Industrias hasta Av. Vicuña Mackenna",1,PROYECTOS ÁREAS VERDES Y MEDIO AMBIENTE - En proceso de adjudicación para ejecución 2025 - Parque Víctor Jara Etapa IV Tramo Av. Las Industrias hasta Av. Vicuña Mackenna,"[
          [
            -70.62037030830658,
            -33.48542531136473
          ],
          [
            -70.6201179297525,
            -33.485936500644854
          ],
          [
            -70.62522559095675,
            -33.48474372096431
          ],
          [
            -70.62511742871949,
            -33.484543252180025
          ],
          [
            -70.6250453205611,
            -33.48437285334711
          ],
          [
            -70.62373535568852,
            -33.4846785671052
          ],
          [
            -70.62235328265666,
            -33.48506446834806
          ],
          [
            -70.62035829028,
            -33.485455381405714
          ]
        ]",MEDIOAMBIENTE,Polígono,,,,,,,,,,,,,,,,,,
Proyecto de áreas verdes en Parque Víctor Jara Etapa IV ,"Parque Víctor Jara, tramo Av. Las Industrias hasta Av. Vicuña Mackenna",1,PROYECTOS ÁREAS VERDES Y MEDIO AMBIENTE - En proceso de adjudicación para ejecución 2025 - Parque Víctor Jara Etapa IV Tramo Av. Las Industrias hasta Av. Vicuña Mackenna,"[
          [
            -70.6252015549729,
            -33.48434242633054
          ],
          [
            -70.62535778931549,
            -33.48471329407807
          ],
          [
            -70.62756910616609,
            -33.48385127470679
          ],
          [
            -70.62904732340847,
            -33.48346035611796
          ],
          [
            -70.62913144959256,
            -33.482768726599836
          ],
          [
            -70.62926364788288,
            -33.48240787422437
          ],
          [
            -70.62955208051577,
            -33.48205704408421
          ],
          [
            -70.63002078354344,
            -33.48163604604155
          ],
          [
            -70.63027316209669,
            -33.48121504595145
          ],
          [
            -70.62973235091059,
            -33.481605974673286
          ],
          [
            -70.62933575604049,
            -33.4817362838552
          ],
          [
            -70.62861467445953,
            -33.48191671162972
          ],
          [
            -70.62829018774706,
            -33.4820971390284
          ],
          [
            -70.6274128718227,
            -33.48293912858712
          ],
          [
            -70.62635528550358,
            -33.483981580510964
          ],
          [
            -70.62611492497601,
            -33.48414195661606
          ],
          [
            -70.6252015549729,
            -33.48435244980352
          ]
        ]",MEDIOAMBIENTE,Polígono,,,,,,,,,,,,,,,,,,
Proyecto de áreas verdes en Parque Víctor Jara Etapa V,"Parque Víctor Jara, tramo Carmen - Av. las Industrias",1,PROYECTOS ÁREAS VERDES Y MEDIO AMBIENTE - Diseño en revisión 2025 para ejecución 2026-2027 - Parque Víctor Jara Etapa V Tramo Carmen - Av. las Industrias,"[
          [
            -70.62941610390261,
            -33.48333876536369
          ],
          [
            -70.63153356927413,
            -33.48237970536143
          ],
          [
            -70.63130920208245,
            -33.481876779408445
          ],
          [
            -70.63097265129468,
            -33.48131537024528
          ],
          [
            -70.63010322842734,
            -33.48192356334107
          ],
          [
            -70.62976355991174,
            -33.482189713488935
          ],
          [
            -70.629514264549,
            -33.482601927526744
          ],
          [
            -70.62945817275072,
            -33.48297034722904
          ],
          [
            -70.62942311537746,
            -33.48331537378065
          ]
        ]",MEDIOAMBIENTE,Polígono,,,,,,,,,,,,,,,,,,
Proyecto de áreas verdes en Parque Víctor Jara Etapa V,"Parque Víctor Jara, tramo Carmen - Av. las Industrias",1,PROYECTOS ÁREAS VERDES Y MEDIO AMBIENTE - Diseño en revisión 2025 para ejecución 2026-2027 - Parque Víctor Jara Etapa V Tramo Carmen - Av. las Industrias,"[
          [
            -70.63108251214749,
            -33.48121760676534
          ],
          [
            -70.63165775392541,
            -33.48227178686844
          ],
          [
            -70.63247605560997,
            -33.48202175813223
          ],
          [
            -70.63327005130408,
            -33.481683880316325
          ],
          [
            -70.6328649514603,
            -33.48058238948333
          ],
          [
            -70.63289735944774,
            -33.48041344793253
          ],
          [
            -70.63318092933821,
            -33.480271536775625
          ],
          [
            -70.6331728273418,
            -33.480176929207936
          ],
          [
            -70.63325384731012,
            -33.4801093523118
          ],
          [
            -70.6334969072167,
            -33.48010259461865
          ],
          [
            -70.63335107127294,
            -33.47971064754577
          ],
          [
            -70.63106630815348,
            -33.48121760676534
          ]
        ]",MEDIOAMBIENTE,Polígono,,,,,,,,,,,,,,,,,,
Proyecto de veredas Calle Darwin (2025),"Calle Darwin, desde Fondo poniente hasta Las Industrias",2,"PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL - Proyecto Aceras VII (veredas) en ejecución 2025: Calle Darwin, desde Fondo poniente hasta Las Industrias","[
          [
            -70.62991227111708,
            -33.48588590873538
          ],
          [
            -70.62990154228078,
            -33.48610961051461
          ],
          [
            -70.63066328964133,
            -33.48604697407448
          ],
          [
            -70.63162888488627,
            -33.485975389517115
          ],
          [
            -70.63305582008219,
            -33.4858322202224
          ],
          [
            -70.63334549865621,
            -33.48579642786238
          ],
          [
            -70.63325966796732,
            -33.48546534782681
          ],
          [
            -70.63219751319797,
            -33.48566220637832
          ],
          [
            -70.63125337562415,
            -33.485742739293975
          ],
          [
            -70.63021267852663,
            -33.48584116831042
          ],
          [
            -70.62992299995337,
            -33.48585011639751
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
