Nombre,Dirección,Territorio,Descripción (sólo si es necesario),Coordenada,Categoría,Subcategoría,,,,,,,,,,,,,,,,,,
Pavimentación Participativa (a ejecutarse 2025-2026): Calle Corelli,"Calle Corelli, tramo Comercio-Fondo Sur",3,"Pavimentación Participativa (a ejecutarse 2025-2026): Calle Corelli, tramo Comercio-Fondo Sur","[
          [
            -70.62073288372946,
            -33.49411782293462
          ],
          [
            -70.62046711742903,
            -33.4941276733255
          ],
          [
            -70.62048188222307,
            -33.494817197905526
          ],
          [
            -70.62075355444212,
            -33.49479995985767
          ],
          [
            -70.62072697781169,
            -33.49412274813088
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Pavimentación Participativa (a ejecutarse 2025-2026): Pje. Río Rapel,"Pje. Río Rapel, tramo Av. central - Fondo Oriente",3,"Pavimentación Participativa (a ejecutarse 2025-2026): Pje. Río Rapel, tramo Av. central - Fondo Oriente","[
          [
            -70.62820480706606,
            -33.48855468781565
          ],
          [
            -70.62788306766353,
            -33.48854574350207
          ],
          [
            -70.62782944443016,
            -33.490245146497365
          ],
          [
            -70.62817263312604,
            -33.49023620235844
          ],
          [
            -70.62822625635941,
            -33.488563632128255
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Pavimentación Participativa (a ejecutarse 2025-2026): Pje. Río Palena,"Pje. Río Palena, tramo Castelar Sur - Comercio",3,"Pavimentación Participativa (a ejecutarse 2025-2026): Pje. Río Palena, tramo Castelar Sur - Comercio","[
          [
            -70.62387801436545,
            -33.49210947642104
          ],
          [
            -70.6238691615849,
            -33.492284204437745
          ],
          [
            -70.6229897853382,
            -33.49230881398844
          ],
          [
            -70.62298683441556,
            -33.492141468906624
          ],
          [
            -70.62388391622414,
            -33.4921119373871
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
"Construcción de veredas, baldosas microvibradas en calle El Pinar entre Vicuña Mackenna",calle El Pinar entre Vicuña Mackenna y Av. Central y San Juan/El Pinar,3,"Mitigaciones en ejecución, asociadas a construcción Edificio Universidad Técnica Federico Santa María: Construcción de veredas, baldosas microvibradas en calle El Pinar entre Vicuña Mackenna y Av. Central y San Juan/El Pinar. Veredas, hormigón en Calle Comercio entre San Juan y Av. Central, platabanda hormigón estampado","[
          [
            -70.6178180490883,
            -33.491440564353816
          ],
          [
            -70.61771072877445,
            -33.491897022003165
          ],
          [
            -70.61838684674856,
            -33.49206707423727
          ],
          [
            -70.62381725460332,
            -33.491905972129054
          ],
          [
            -70.62389237882323,
            -33.491467414870314
          ],
          [
            -70.61933126550619,
            -33.49168221870255
          ],
          [
            -70.6185907553442,
            -33.49171801928941
          ],
          [
            -70.61810781393375,
            -33.4916016673279
          ],
          [
            -70.6178180490883,
            -33.491440564353816
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Mejoramiento de áreas verdes:Calle primero de mayo,Calle primero de mayo (fachada mall la fabrica),3,"PROYECTOS ÁREAS VERDES Y MEDIO AMBIENTE - Mejoramiento de áreas verdes Dirección de Medio Ambiente y Ornato: Calle primero de mayo (fachada mall la fabrica 242 m²)
","[
          [
            -70.62559008845899,
            -33.485577945008984
          ],
          [
            -70.62508568298587,
            -33.48575696038738
          ],
          [
            -70.62476372204577,
            -33.48706376163163
          ],
          [
            -70.62521446736234,
            -33.487099564127924
          ],
          [
            -70.62557935642843,
            -33.48557794499056
          ]
        ]",MEDIO AMBIENTE,Calle,,,,,,,,,,,,,,,,,,
Mejoramiento área verde avenida las industrias ,Av. las industrias (Av. Alcalde Carlos Valdovinos a Drake),3,PROYECTOS ÁREAS VERDES Y MEDIO AMBIENTE - Mejoramiento 1.013 m2 área verde de avenida las industrias (Av. Alcalde Carlos Valdovinos a Drake),"[
          [
            -70.62963608702066,
            -33.48443867407079
          ],
          [
            -70.62878825654556,
            -33.48470720057046
          ],
          [
            -70.62913168154826,
            -33.48544116875781
          ],
          [
            -70.6292497338927,
            -33.48597821470994
          ],
          [
            -70.62920680576745,
            -33.48725816080256
          ],
          [
            -70.63005463624255,
            -33.48722235837188
          ],
          [
            -70.63008683233646,
            -33.486076672773095
          ],
          [
            -70.63007610030516,
            -33.48570074138324
          ],
          [
            -70.630000976086,
            -33.48530690674859
          ],
          [
            -70.62963608702066,
            -33.484447624967466
          ]
        ]",MEDIO AMBIENTE,Calle,,,,,,,,,,,,,,,,,,
Mejoramiento de área verde platabanda Drake y Magdalena,Drake y Magdalena,3,"PROYECTOS ÁREAS VERDES Y MEDIO AMBIENTE (Aprobado técnicamente con financiamiento): Mejoramiento de espacios públicos área verde platabanda Drake y Magdalena, SUBDERE.","[
          [
            -70.62816204827558,
            -33.487247103147865
          ],
          [
            -70.62814739338393,
            -33.48745488211335
          ],
          [
            -70.62929047493118,
            -33.48747932666674
          ],
          [
            -70.629297802377,
            -33.487277658916994
          ],
          [
            -70.62816204827321,
            -33.48725321433095
          ]
        ]",MEDIO AMBIENTE,Calle,,,,,,,,,,,,,,,,,,
Mejoramiento de área verde platabanda Drake y Magdalena,Drake y Magdalena,3,"PROYECTOS ÁREAS VERDES Y MEDIO AMBIENTE (Aprobado técnicamente con financiamiento): Mejoramiento de espacios públicos área verde platabanda Drake y Magdalena, SUBDERE.","[
          [
            -70.62812228829306,
            -33.48837987653612
          ],
          [
            -70.62810030595558,
            -33.48862431912199
          ],
          [
            -70.62936062663825,
            -33.48862431912199
          ],
          [
            -70.62937528152986,
            -33.4884104318971
          ],
          [
            -70.62812228829306,
            -33.488392098681814
          ]
        ]",MEDIO AMBIENTE,Calle,,,,,,,,,,,,,,,,,,
"Mejoramiento de espacio público platabanda Rieter
PLANES MAESTROS Y DESARROLLO URBANO - PROYECTOS INMOBILIARIOS CON MITIGACIONES EN EL ESPACIO
PÚBLICO - Mejoramiento de espacio público platabanda Rieter (En postulación)
",Rieter,3,"PROYECTOS ÁREAS VERDES Y MEDIO AMBIENTE - Proyecto en postulación: Mejoramiento de espacio público platabanda Rieter, SUBDERE. 
PLANES MAESTROS Y DESARROLLO URBANO - PROYECTOS INMOBILIARIOS CON MITIGACIONES EN EL ESPACIO
PÚBLICO - Mejoramiento de espacio público platabanda Rieter (En postulación)
","[
          [
            -70.62943426478388,
            -33.486069492641704
          ],
          [
            -70.6291691578048,
            -33.486057209056355
          ],
          [
            -70.62905133248049,
            -33.488391058991674
          ],
          [
            -70.62929434721134,
            -33.48837877573563
          ],
          [
            -70.62941953661841,
            -33.486057209056355
          ]
        ]",MEDIO AMBIENTE,Calle,,,,,,,,,,,,,,,,,,
"Mejoramiento Ciclovía Av Las Industrias
",Av Las Industrias,3,"PLANES MAESTROS Y DESARROLLO URBANO - PROYECTOS INMOBILIARIOS CON MITIGACIONES EN EL ESPACIO
PÚBLICO - PROYECTOS IMPACTO NIVEL COMUNAL: Mejoramiento Ciclovía Av Las Industrias (Ejecutado)
","[
          [
            -70.62944416199578,
            -33.48448587212702
          ],
          [
            -70.62899748087014,
            -33.48466202884437
          ],
          [
            -70.62927024187988,
            -33.48526803269604
          ],
          [
            -70.6294096901479,
            -33.48589319911286
          ],
          [
            -70.62938031324282,
            -33.48765963974347
          ],
          [
            -70.62895078140006,
            -33.493689162863625
          ],
          [
            -70.62948225576083,
            -33.49374234940325
          ],
          [
            -70.62988617627414,
            -33.4882285048854
          ],
          [
            -70.62994995319718,
            -33.48626045611585
          ],
          [
            -70.62984365832544,
            -33.48544485523085
          ],
          [
            -70.6294609967865,
            -33.48450513164434
          ],
          [
            -70.62899140503221,
            -33.48466549802537
          ]
        ]",PLANES MAESTROS Y DESARROLLO URBANO,Calle,,,,,,,,,,,,,,,,,,
"Mejoramiento Av. Primero de Mayo
","Av. Primero de Mayo, Tramo Arquitecto Arturo Bianchi y Alcalde Pedro Alarcón",3,"PLANES MAESTROS Y DESARROLLO URBANO - PROYECTOS INMOBILIARIOS CON MITIGACIONES EN EL ESPACIO
PÚBLICO - Mejoramiento Av. Primero de Mayo, Tramo Arquitecto Arturo Bianchi y Alcalde Pedro Alarcón, San Joaquín (En postulación)
","[
          [
            -70.62472156115383,
            -33.48713589165544
          ],
          [
            -70.62520325601507,
            -33.48721449257138
          ],
          [
            -70.62414562164528,
            -33.49162476300514
          ],
          [
            -70.62365345515664,
            -33.49162476300514
          ],
          [
            -70.62472156115383,
            -33.487127158223025
          ]
        ]",PLANES MAESTROS Y DESARROLLO URBANO,Calle,,,,,,,,,,,,,,,,,,
"Proyecto Aceras: Calle Nuremberg, desde Santa Rosa hasta Cabildo","Calle Nuremberg, desde Santa Rosa hasta Cabildo",4,"PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL - Proyecto Aceras VII ejecución 2025: Calle Nuremberg, desde Santa Rosa hasta Cabildo","[
          [
            -70.63938398760678,
            -33.497210651295795
          ],
          [
            -70.63935696167728,
            -33.49755012134422
          ],
          [
            -70.63728330904205,
            -33.49761808265497
          ],
          [
            -70.63731953004874,
            -33.49733113453719
          ],
          [
            -70.63937507218064,
            -33.497202762702436
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Proyecto Aceras: Calle Llico,"Calle Llico, desde Av. Santa Rosa hasta Diego de Meza",4,"PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL - Proyecto Aceras VII ejecución 2025: Calle Llico, desde Av. Santa Rosa hasta Diego de Meza","[
          [
            -70.63557270097009,
            -33.505098499397
          ],
          [
            -70.6355190390253,
            -33.50549225713131
          ],
          [
            -70.63851337552572,
            -33.505733880308334
          ],
          [
            -70.63856703747051,
            -33.505295378487475
          ],
          [
            -70.63558343335858,
            -33.50510744845535
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Proyecto Aceras: Calle Cristóbal de Erazo,"Calle Cristóbal de Erazo, desde Pedro de Mira hasta Fondo Sur",4,"PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL - Proyecto Aceras VII ejecución 2025: Calle Cristóbal de Erazo, desde Pedro de Mira hasta Fondo Sur","[
          [
            -70.63557270097009,
            -33.505098499397
          ],
          [
            -70.6355190390253,
            -33.50549225713131
          ],
          [
            -70.63851337552572,
            -33.505733880308334
          ],
          [
            -70.63856703747051,
            -33.505295378487475
          ],
          [
            -70.63558343335858,
            -33.50510744845535
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Proyecto Aceras: Calle Gaspar de Espinoza,"Calle Gaspar de Espinoza, desde Llico hasta Av. Departamental",4,"PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL - Proyecto Aceras VII ejecución 2025: Calle Gaspar de Espinoza, desde Llico hasta Av. Departamental","[
          [
            -70.63474923254219,
            -33.505326831428256
          ],
          [
            -70.6344165284865,
            -33.5053089333535
          ],
          [
            -70.63426627504143,
            -33.50692869407813
          ],
          [
            -70.6345989790971,
            -33.50693764294851
          ],
          [
            -70.63477069731995,
            -33.50533578046431
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Proyecto Aceras: Pje. Francisco de Castañeda,"Pje. Francisco de Castañeda, desde Llico hasta Av. Departamental",4,"PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL - Proyecto Aceras VII ejecución 2025: Pje. Francisco de Castañeda, desde Llico hasta Av. Departamental","[
          [
            -70.63409836889686,
            -33.50527384861356
          ],
          [
            -70.6337656648412,
            -33.50525595052779
          ],
          [
            -70.63361541139685,
            -33.50694730322249
          ],
          [
            -70.63394811545179,
            -33.50694730322249
          ],
          [
            -70.63410910128538,
            -33.50529174669438
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Proyecto Aceras: Calle José Garibaldi,"Calle José Garibaldi, desde Ureta Cox hasta San Nicolas",4,"PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL - Proyecto Aceras VII ejecución 2025: Calle José Garibaldi, desde Ureta Cox hasta San Nicolas","[
          [
            -70.63462428434458,
            -33.50086952604126
          ],
          [
            -70.6342915802889,
            -33.50084267754631
          ],
          [
            -70.63418425640009,
            -33.502211940186484
          ],
          [
            -70.63447403090026,
            -33.50222983890168
          ],
          [
            -70.6346350167331,
            -33.50088742503409
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Proyecto Aceras: Pje. Pintor Durero,"Pje. Pintor Durero, desde Llico hasta Av. Departamental",4,"PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL - Proyecto Aceras VII ejecución 2025: Pje. Pintor Durero, desde Llico hasta Av. Departamental","[
          [
            -70.6319516106656,
            -33.50513105070261
          ],
          [
            -70.63159920257789,
            -33.50511769385256
          ],
          [
            -70.63142299853345,
            -33.50699431114528
          ],
          [
            -70.63177540662171,
            -33.50696091973383
          ],
          [
            -70.63196762921504,
            -33.50513772912733
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Proyecto Aceras: Calle Francisco de Toledo,"Calle Francisco de Toledo, desde Ureta Cox hasta Pirámide",4,"PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL - Proyecto Aceras VII ejecución 2025: Calle Francisco de Toledo, desde Ureta Cox hasta Pirámide","[
          [
            -70.63166381670729,
            -33.50342719557222
          ],
          [
            -70.63120928204827,
            -33.503406139180015
          ],
          [
            -70.6314870532288,
            -33.50064770760293
          ],
          [
            -70.63189108403682,
            -33.50065823613514
          ],
          [
            -70.6316385647818,
            -33.50341666737675
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
"Proyecto Aceras y pavimentación: Calle Vasco Núñez de Balboa
","Calle Vasco Núñez de Balboa, desde Pedro de Mira hasta Pirámide / Calle Vasco Nuñez de Balboa, tramo Pirámide-San Nicolas",4,"PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL - Proyecto Aceras VII ejecución 2025: Calle Vasco Núñez de Balboa, desde Pedro de Mira hasta Pirámide
PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL -  Pav. Participativa en Ejecución 2025: Calle Vasco Nuñez de Balboa, tramo Pirámide-San Nicolas
","[
          [
            -70.63800827162592,
            -33.49955362189844
          ],
          [
            -70.637697032348,
            -33.499535722629815
          ],
          [
            -70.63743945501413,
            -33.502426406447455
          ],
          [
            -70.63778289145903,
            -33.50244430511716
          ],
          [
            -70.63798680684818,
            -33.49956257153136
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Proyecto Aceras: Calle Cabildo,"Calle Cabildo, desde Gaspar de Soto hasta Ingeniero Budge",4,"PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL - Proyecto Aceras VII ejecución 2025: Calle Cabildo, desde Gaspar de Soto hasta Ingeniero Budge","[
          [
            -70.63713698062797,
            -33.4965320127911
          ],
          [
            -70.63744544158396,
            -33.49652129481148
          ],
          [
            -70.6373554738047,
            -33.49781816085066
          ],
          [
            -70.63705986538899,
            -33.497796725206996
          ],
          [
            -70.63716268570765,
            -33.49655344874942
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Pav. Participativa: Calle  Pintor A. Abarca,"Calle  Pintor A. Abarca, tramo G. de Espinoza-San Gregorio",4,"PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL - Pav. Participativa a Ejecutarse 2025: Calle  Pintor A. Abarca, tramo G. de Espinoza-San Gregorio","[
          [
            -70.63713698062797,
            -33.4965320127911
          ],
          [
            -70.63744544158396,
            -33.49652129481148
          ],
          [
            -70.6373554738047,
            -33.49781816085066
          ],
          [
            -70.63705986538899,
            -33.497796725206996
          ],
          [
            -70.63716268570765,
            -33.49655344874942
          ]
        ]
            -70.63513220828969,
            -33.497111796786506
          ],
          [
            -70.6351268420958,
            -33.49694622374656
          ],
          [
            -70.6372947846513,
            -33.49683882484785
          ],
          [
            -70.63735381279069,
            -33.496888049359235
          ],
          [
            -70.6380353194852,
            -33.49683882484785
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Pav. Participativa: Calle Alberto Michelson,"Calle Alberto Michelson, tramo 16 de Febrero-Cabildo",4,"PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL - Pav. Participativa a Ejecutarse 2025: Calle Alberto Michelson, tramo 16 de Febrero-Cabildo","[
          [
            -70.63735795281642,
            -33.49684601747817
          ],
          [
            -70.63733648803866,
            -33.497118989394124
          ],
          [
            -70.63805555809408,
            -33.49706529006828
          ],
          [
            -70.63805555809408,
            -33.49682811764971
          ],
          [
            -70.63736331901104,
            -33.496841542520784
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Pav. Participativa: Calle Pintor Antonio Smith,"Calle Pintor Antonio Smith, tramo G. de Espinoza-San Gregorio",4,"PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL - Pav. Participativa a Ejecutarse 2025: Calle Pintor Antonio Smith, tramo G. de Espinoza-San Gregorio","[
          [
            -70.63596274228917,
            -33.4973293116376
          ],
          [
            -70.63598957326157,
            -33.497535158243416
          ],
          [
            -70.6351363483433,
            -33.49757543251356
          ],
          [
            -70.63513098214868,
            -33.497324836698496
          ],
          [
            -70.63596274228753,
            -33.49731588683424
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Pav. Participativa: Calle Veronés,"Calle Veronés, tramo Llico- Departamental",4,"PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL - Pav. Participativa a Ejecutarse 2025: Calle Veronés, tramo Llico- Departamental","[
          [
            -70.63048647938028,
            -33.50503544674602
          ],
          [
            -70.63018597249086,
            -33.50501754861103
          ],
          [
            -70.6299820571025,
            -33.50706686095466
          ],
          [
            -70.63029329638043,
            -33.507048963240926
          ],
          [
            -70.63052940893581,
            -33.50503544674602
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Pav. Participativa: Fco. Toledo,"Fco. Toledo, tramo Llico- Departamental",4,"PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL - Pav. Participativa a Ejecutarse 2025: Fco. Toledo, tramo Llico- Departamental","[
          [
            -70.63145239438032,
            -33.505107039246774
          ],
          [
            -70.63110895793537,
            -33.50509809018711
          ],
          [
            -70.63091577493553,
            -33.5070042189386
          ],
          [
            -70.6312806761582,
            -33.506977372346604
          ],
          [
            -70.63147385915808,
            -33.505107039246774
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Pav. Participativa: Pje. Lamifun,"Pje. Lamifun, tramo Av. Salvador Allende-Gaspar de Soto / Calle Pintor Murillo O (02), tramo San Nicolas- Pirámide",4,"PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL -  Pav. Participativa a Ejecutarse 2025: Pje. Lamifun, tramo Av. Salvador Allende-Gaspar de Soto","[
          [
            -70.63906818131161,
            -33.495454982184945
          ],
          [
            -70.6388177702895,
            -33.49545034162563
          ],
          [
            -70.63893462876624,
            -33.496341324454576
          ],
          [
            -70.63914052227322,
            -33.496332043430805
          ],
          [
            -70.63908487537951,
            -33.495464263303916
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Pav. Participativa: Parque Pintor Murillo,"Parque Pintor Murillo, Tramos Pasajes ote y pte Parque / Calle Pintor Murillo, tramo San Nicolas- Pirámide",4,"PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL -  Pav. Participativa a Ejecutarse 2025: Parque Pintor Murillo, Tramos Pasajes ote y pte Parque
PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL - Pav. Participativa en Ejecución 2025: Calle Pintor Murillo O (02), tramo San Nicolas- Pirámide","[
          [
            -70.63007816901055,
            -33.50548907531851
          ],
          [
            -70.62966438421084,
            -33.505443071653225
          ],
          [
            -70.63009196183702,
            -33.50142915772399
          ],
          [
            -70.63049195381072,
            -33.50144065918725
          ],
          [
            -70.63007816901055,
            -33.50547757440467
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Pav. Participativa: Julio Donoso,"Julio Donoso, tramo Av. Salvador Allende-Gaspar de Soto",4,"PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL -  Pav. Participativa a Ejecutarse 2025: Julio Donoso, tramo Av. Salvador Allende-Gaspar de Soto","[
          [
            -70.63817811415663,
            -33.49545347035338
          ],
          [
            -70.63791006234855,
            -33.495462411806436
          ],
          [
            -70.63800119996279,
            -33.49638784721983
          ],
          [
            -70.63824244659045,
            -33.49636996450271
          ],
          [
            -70.63816739208448,
            -33.495462411806436
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Pav. Participativa: Calle Gaspar de Espinoza,"Calle Gaspar de Espinoza, tramo Pirámide-San Nicolas",4,"PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL -  Pav. Participativa en Ejecución 2025: Calle Gaspar de Espinoza, tramo Pirámide-San Nicolas","[
          [
            -70.63514229188515,
            -33.502376434898174
          ],
          [
            -70.6348285273778,
            -33.50236134047835
          ],
          [
            -70.63475008625038,
            -33.50365945098086
          ],
          [
            -70.63500351143016,
            -33.50369970215757
          ],
          [
            -70.63513625795238,
            -33.502386497843275
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
PROGRAMA QUIERO MI BARRIO: Habilitación Plaza Arturo Gordon,"Plaza Arturo Gordon, Barrio 16 De Febrero - Nueva Sierra Bella ",4,"PROYECTOS ÁREAS VERDES Y MEDIO AMBIENTE - Proyectos en Ejecución
PROGRAMA QUIERO MI BARRIO (MINVU-SERVIU): Habilitación Plaza Arturo Gordon, Barrio 16 De Febrero - Nueva Sierra Bella 

SOCIAL Y COMUNITARIO - PROGRAMAS QUIERO MI BARRIO (MINVU-SERVIU)
Barrio 16 Febrero/Nueva Sierra Bella
Plan de Gestión Social ejecutado el 2023 (15 talleres/actividades) 
Habilitación Plaza Arturo Gordon: Se encuentra en proceso de confección de Convenio de Transferencia para proceder a licitación","[
          [
            -70.6363369145525,
            -33.49701397898404
          ],
          [
            -70.63600661296567,
            -33.49703204083834
          ],
          [
            -70.63607159032675,
            -33.49784933581398
          ],
          [
            -70.63636940323262,
            -33.49782675870869
          ],
          [
            -70.63633149977171,
            -33.49701849444802
          ]
        ]",MEDIO AMBIENTE,Polígono,,,,,,,,,,,,,,,,,,
Mejoramiento Circuito Recreativo y Medioambiental Barrio Parque Pintor Murillo ,Barrio Parque Pintor Murillo ,4,"PROYECTOS ÁREAS VERDES Y MEDIO AMBIENTE - Proyectos en Ejecución
PROGRAMA QUIERO MI BARRIO (MINVU-SERVIU): Mejoramiento Circuito Recreativo y Medioambiental Barrio Parque Pintor Murillo 

SOCIAL Y COMUNITARIO -  PROGRAMAS QUIERO MI BARRIO (MINVU-SERVIU) Barrio Pintor Murillo
Plan de gestión Social 2023 (talleres, capacitación liderazgo y trabajo patrimonial) $23.600.000
Mejoramiento Circuito Recreativo Medioambiental Parque Pintor Murillo:
Se encuentra en proceso de licitación de obras.
","[
          [
            -70.62994125456531,
            -33.50706734972822
          ],
          [
            -70.62956549953408,
            -33.50708226930809
          ],
          [
            -70.63042079509721,
            -33.50057813415186
          ],
          [
            -70.63071262178404,
            -33.50059685326584
          ],
          [
            -70.62997183096256,
            -33.50705470607257
          ]
        ]",MEDIO AMBIENTE,Polígono,,,,,,,,,,,,,,,,,,
Mejoramiento Platabanda Infraestructura Verde en Calle San Nicolás,Calle San Nicolás,4,"PROYECTOS ÁREAS VERDES Y MEDIO AMBIENTE - Proyecto en reevaluación
Mejoramiento Platabanda Infraestructura Verde con Incorporación de Luminarias Públicas y Urbanismo Táctico en Calle San Nicolás","[
          [
            -70.62763399221576,
            -33.50162092023879
          ],
          [
            -70.62757040077801,
            -33.502045135245005
          ],
          [
            -70.63154486565968,
            -33.50225724196801
          ],
          [
            -70.63157666137883,
            -33.501912568279046
          ],
          [
            -70.62763399221576,
            -33.501594406732266
          ]
        ]",MEDIO AMBIENTE,Calle,,,,,,,,,,,,,,,,,,
"Construcción línea 9, Ciclovía Santa Rosa",Santa Rosa,4,"PLANES MAESTROS Y DESARROLLO URBANO - FINANCIAMIENTO APROBADO: Construcción línea 9 metro de Santiago

PLANES MAESTROS Y DESARROLLO URBANO - EN POSTULACIÓN PLAN MAESTRO CICLOVÍAS: Ciclovía Santa Rosa

PLANES MAESTROS Y DESARROLLO URBANO - PLANES MAESTROS Y PROYECTOS DE VIVIENDA: Plan de vivienda de interés público o social “Patios de Nibsa” Pedro Mira N°409 (DS 49), 5 pisos 280 viv., en construcción
","[
          [
            -70.63916100790833,
            -33.50679761645544
          ],
          [
            -70.63802446824137,
            -33.50703006347264
          ],
          [
            -70.63903529770926,
            -33.495770055566744
          ],
          [
            -70.64062883520913,
            -33.495770055566744
          ],
          [
            -70.63914153354287,
            -33.5067253489501
          ]
        ]",PLANES MAESTROS Y DESARROLLO URBANO,Polígono,,,,,,,,,,,,,,,,,,
Proyecto Aceras: Calle San Juan,"Calle San Juan, desde fondo norte hasta Av. Departamental",5,"PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL - Proyecto Aceras VII en ejecución 2024-2025: Calle San Juan, desde fondo norte hasta Av. Departamental","[
          [
            -70.61612944117918,
            -33.50701905743896
          ],
          [
            -70.61597073937527,
            -33.507022365650165
          ],
          [
            -70.61573665421521,
            -33.50800159061831
          ],
          [
            -70.61589138847359,
            -33.50799497426609
          ],
          [
            -70.61612547363363,
            -33.50701244101619
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
