Dirección,Territorio (1 al 7),Coordenadas (click derecho en maps),Nombre,Categoría,Subcategoría?,Icono (JPG o PNG),Link (si aplica),Foto (Si aplica)**,Descripción
"Skate park, Parque intercomunal Victor Jara (Isabel Riquelme 542)",1,"-33.479215415936345, -70.63774760018646",TALLERES DEPORTIVOS ,Deportes,Ejecutado,0030 SKATE.png,,,Skate
Plaza Santa María ,1,"-33.47410584809216, -70.63349211047422",TERMINADOS 2024,Desarrollo Urbano ,Ejecutado,0017 PROYECTOS EJECUTADOS.png,,,"Mejoramiento de zonas deportivas, instalación de circuitos de calistenia y circuitos inclusivos."
San Francisco de California ,1,"-33.47831190390589, -70.63847727062021",TERMINADOS 2024,Desarrollo Urbano ,Ejecutado,0017 PROYECTOS EJECUTADOS.png,,,"Mejoramiento de zonas deportivas, instalación de circuitos de calistenia y circuitos inclusivos."
Casablanca ,1,"-33.477159466966874, -70.63562845347668",TERMINADOS 2024,Desarrollo Urbano ,Ejecutado,0017 PROYECTOS EJECUTADOS.png,,,"Mejoramiento de zonas deportivas, instalación de circuitos de calistenia y circuitos inclusivos."
"Estadio Municipal, Av. Carlos Valdovinos 279",1,"-33.484303983768406, -70.62892164804842",HITOS E INTERVENCIONES COMUNITARIAS ,Deportes,Ejecutado,Pendiente de creacion (zumba Fluor),,,Zumba Fluor
Sierra Bella 2888,1,"-33.4830749028196, -70.6317222064438",HITOS E INTERVENCIONES COMUNITARIAS ,Deportes,Ejecutado,0090 CALLES ABIERTA FAMILIARES.png,,,Inauguración Calles Abiertas Familiares
"Estadio Municipal, Av. Carlos Valdovinos 279",1,"-33.484303983768406, -70.62892164804842",HITOS E INTERVENCIONES COMUNITARIAS ,Deportes,Ejecutado,Pendiente de creacion (Voleibol),,,Campeonato deportivo de talleres de voleibol
"Piscina Municipal Temperada, Carlos Valdovinos 287",1,"-33.48364585146848, -70.63020641539326",HITOS E INTERVENCIONES COMUNITARIAS ,Deportes,Ejecutado,Pendiente de creacion (Vacaciones invierno piscina  temperada),,,Vacaciones de invierno piscina temperada
Gimnasio Municipal,1,"-33.48308252921477, -70.63171657693465",HITOS E INTERVENCIONES COMUNITARIAS ,Deportes,Ejecutado,Pendiente de creacion (Gala artistica),,,Gala artistica de talleres deportivos 
"JJVV Vicente Navarrete , Casablanca 2599",1,"-33.47842992610345, -70.63516438990906",TALLERES CULTURALES ,Cultura,Ejecutado,0013 DIA DEL CUEQUERO Y CUEQUERA.png,,,Se realizan bailes de Cueca Brava 
Plaza Valdivieso,1,"-33.474338775002416, -70.62632034047559",FIESTAS Y CELEBRACION ,Cultura,Ejecutado,0049 ACTIVIDADES ITINERANTES.png,,,se realiza la Chilenera 
Sierra Bella (Plaza Isabel Riquelme),1,"-33.47899898816299, -70.63804183932035",FIESTAS Y CELEBRACION ,Cultura,Ejecutado,0049 ACTIVIDADES ITINERANTES.png,,,Navidad
Plaza Debussy,1,"-33.47818413362091, -70.62742403558087",ACTIVIDADES TERRITORIO 1,Cultura,Ejecutado,,,,Murga Urdemales 
Santa Rosa 2414,1,"-33.47656777919845, -70.64175814960554",ACTIVIDADES TERRITORIO 1,Cultura,Ejecutado,,,,Inauguración Plaza de Bolsillo Joan Jara 
Sierra Bella (Plaza Isabel Riquelme),1,"-33.48253738677336, -70.6318368345598",ACTIVIDADES COMUNITARIAS DIDECO ,Social y Comunitario,Ejecutado,0031 TALLER ADULTO MAYOR.png,,,"Talleres Personas Mayores en CAM zona norte: Taller de yoga, Alfabetizacion digital; mente activa 1, manualidades, canto, chi king, Salud integral, mente activa 2, teatro, arpilleria, danza latinoamericana, cosmetica natural, guitarra, bordado Mexicano"
Maqui 655,1,"-33.47786018719673, -70.6406855045502",ACTIVIDADES COMUNITARIAS DIDECO ,Social y Comunitario,Ejecutado,0031 TALLER ADULTO MAYOR.png,,,Taller mente activa
Santa Corina con Tocornal ,1,"-33.47895691184349, -70.63240744652862",ACTIVIDADES COMUNITARIAS DIDECO ,Social y Comunitario,Ejecutado,0031 TALLER ADULTO MAYOR.png,,,Gimansia y mente activa
Plaza Luis Marchant,1,"-33.47636799362912, -70.63151813553667","Area participacion, promocion y prevencion",Social y Comunitario,Ejecutado,00110 VERANO EN TU BARRIO.png,,,Verano en tu Barrio 
JJVV Manuel de Salas,1,"-33.47599004311474, -70.63590495977431","Area participacion, promocion y prevencion",Social y Comunitario,Ejecutado,,,,Taller de Guitarra 
Centro Educacional Provincia de Ñuble,1,"-33.478316618514164, -70.63611608756415","Area participacion, promocion y prevencion",Social y Comunitario,Ejecutado,,,,Programa Habilidades para la Vida (HPV)
Sierra Bella (Plaza Isabel Riquelme),1,"-33.47899898816299, -70.63804183932035","Area participacion, promocion y prevencion",Social y Comunitario,Ejecutado,,,,Se celebra el dia Internacional de Inmigrante
JJVV San Pedro,1,"-33.46899567082337, -70.634567879608","Area participacion, promocion y prevencion",Social y Comunitario,Ejecutado,,,,Charla Preventiva sobre la Trata de personas
Santa Rosa 2606,1,"-33.479048260950236, -70.64149674040375",Mejoramiento de infraestructura municipal,Social y Comunitario,Ejecutado,,,,Proyecto Bicicletero municipal y acondicionamiento de primer piso correspondiente a la Direccion de Desarrollo Social
Sierra Bella (Plaza Isabel Riquelme),1,"-33.48253738677336, -70.6318368345598",Actividades oficina de la discapacidad e inclusion,Social y Comunitario,Ejecutado,,,,"Encuentro presencial del termino de 15 sesiones del taller ""comienzo por mí"""
